34 - Details Of Assembly Segment Of PC,,,,,,,,,,,
State/UT Name,PC NO,PC NAME,TOTAL ELECTORS IN PC,AC NO,AC NAME,TOTAL ELECTORS IN AC,TOTAL VALID VOTES IN STATE,NOTA VOTES EVM IN AC,CANDIDATE NAME,PARTY,VOTES SECURED EVM
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,KINJARAPU RAMMOHAN NAIDU,TDP,104496
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,TILAK PERADA,YSRCP,52253
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,NAIDUGARI RAJASEKHAR,BSP,598
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,PEDADA PARAMESWARA RAO,INC,701
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,IPPILI SEETHARAJU,JBNP,88
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,KAYA DURGARAO,NRCP,94
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,BOMMALI TIRUPATI RAO,PPOI,57
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,BORUBADRA CHANDRAKALA,BCYP,96
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,CHELLURI DANIYAL,IND,99
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,BETHA VIVEKANANDA MAHARAJ,IND,113
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,YEDDU LAKSHMINARAYANA,IND,175
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,VABA YOGESWARA RAO,IND,382
Andhra Pradesh,2,Srikakulam,1646686,2,Palasa,222378,33327256,2983,SANAPALA SRAVAN KUMAR,IND,824
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,KINJARAPU RAMMOHAN NAIDU,TDP,108170
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,TILAK PERADA,YSRCP,71328
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,NAIDUGARI RAJASEKHAR,BSP,463
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,PEDADA PARAMESWARA RAO,INC,989
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,IPPILI SEETHARAJU,JBNP,157
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,KAYA DURGARAO,NRCP,104
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,BOMMALI TIRUPATI RAO,PPOI,77
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,BORUBADRA CHANDRAKALA,BCYP,91
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,CHELLURI DANIYAL,IND,85
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,BETHA VIVEKANANDA MAHARAJ,IND,122
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,YEDDU LAKSHMINARAYANA,IND,169
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,VABA YOGESWARA RAO,IND,277
Andhra Pradesh,2,Srikakulam,1646686,3,Tekkali,239246,33327256,3817,SANAPALA SRAVAN KUMAR,IND,694
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,KINJARAPU RAMMOHAN NAIDU,TDP,92730
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,TILAK PERADA,YSRCP,58625
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,NAIDUGARI RAJASEKHAR,BSP,979
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,PEDADA PARAMESWARA RAO,INC,1105
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,IPPILI SEETHARAJU,JBNP,197
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,KAYA DURGARAO,NRCP,131
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,BOMMALI TIRUPATI RAO,PPOI,128
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,BORUBADRA CHANDRAKALA,BCYP,227
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,CHELLURI DANIYAL,IND,162
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,BETHA VIVEKANANDA MAHARAJ,IND,180
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,YEDDU LAKSHMINARAYANA,IND,337
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,VABA YOGESWARA RAO,IND,862
Andhra Pradesh,2,Srikakulam,1646686,4,Pathapatnam,227167,33327256,3467,SANAPALA SRAVAN KUMAR,IND,994
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,KINJARAPU RAMMOHAN NAIDU,TDP,123477
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,TILAK PERADA,YSRCP,55064
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,NAIDUGARI RAJASEKHAR,BSP,684
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,PEDADA PARAMESWARA RAO,INC,1541
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,IPPILI SEETHARAJU,JBNP,228
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,KAYA DURGARAO,NRCP,153
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,BOMMALI TIRUPATI RAO,PPOI,128
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,BORUBADRA CHANDRAKALA,BCYP,520
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,CHELLURI DANIYAL,IND,131
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,BETHA VIVEKANANDA MAHARAJ,IND,152
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,YEDDU LAKSHMINARAYANA,IND,249
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,VABA YOGESWARA RAO,IND,403
Andhra Pradesh,2,Srikakulam,1646686,5,Srikakulam,274523,33327256,3161,SANAPALA SRAVAN KUMAR,IND,770
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,KINJARAPU RAMMOHAN NAIDU,TDP,90690
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,TILAK PERADA,YSRCP,56143
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,NAIDUGARI RAJASEKHAR,BSP,594
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,PEDADA PARAMESWARA RAO,INC,799
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,IPPILI SEETHARAJU,JBNP,121
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,KAYA DURGARAO,NRCP,77
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,BOMMALI TIRUPATI RAO,PPOI,63
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,BORUBADRA CHANDRAKALA,BCYP,98
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,CHELLURI DANIYAL,IND,117
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,BETHA VIVEKANANDA MAHARAJ,IND,1718
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,YEDDU LAKSHMINARAYANA,IND,244
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,VABA YOGESWARA RAO,IND,310
Andhra Pradesh,2,Srikakulam,1646686,6,Amadalavalasa,196098,33327256,2481,SANAPALA SRAVAN KUMAR,IND,609
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,KINJARAPU RAMMOHAN NAIDU,TDP,103490
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,TILAK PERADA,YSRCP,60967
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,NAIDUGARI RAJASEKHAR,BSP,801
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,PEDADA PARAMESWARA RAO,INC,928
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,IPPILI SEETHARAJU,JBNP,165
